split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
27,7,0.7000000000000001,0.8,0,,
27,8,0.8,0.9,0,,
27,9,0.9,1.0,6,0.9683816645718747,1.0
28,0,0.0,0.1,4,0.020617671356289793,0.0
28,1,0.1,0.2,3,0.15132318038257428,0.0
28,2,0.2,0.30000000000000004,0,,
28,3,0.30000000000000004,0.4,0,,
28,4,0.4,0.5,0,,
28,5,0.5,0.6000000000000001,0,,
28,6,0.6000000000000001,0.7000000000000001,0,,
28,7,0.7000000000000001,0.8,0,,
28,8,0.8,0.9,0,,
28,9,0.9,1.0,7,0.9847924672568109,1.0
29,0,0.0,0.1,6,0.006868120799089064,0.0
29,1,0.1,0.2,1,0.16952774732315565,0.0
29,2,0.2,0.30000000000000004,1,0.2227738420984072,1.0
29,3,0.30000000000000004,0.4,0,,
29,4,0.4,0.5,1,0.46072978561539313,1.0
29,5,0.5,0.6000000000000001,0,,
29,6,0.6000000000000001,0.7000000000000001,0,,
29,7,0.7000000000000001,0.8,1,0.7708622829961982,1.0
29,8,0.8,0.9,1,0.8948138012943309,1.0
29,9,0.9,1.0,3,0.9884651222484558,1.0
30,0,0.0,0.1,8,0.03287464158832107,0.125
30,1,0.1,0.2,0,,
30,2,0.2,0.30000000000000004,0,,
30,3,0.30000000000000004,0.4,0,,
30,4,0.4,0.5,1,0.4829376474263721,1.0
30,5,0.5,0.6000000000000001,0,,
30,6,0.6000000000000001,0.7000000000000001,0,,
30,7,0.7000000000000001,0.8,0,,
30,8,0.8,0.9,1,0.8909319534820546,1.0
30,9,0.9,1.0,4,0.9839965743233379,1.0
31,0,0.0,0.1,8,0.027587380193804516,0.125
31,1,0.1,0.2,2,0.1274878638795502,0.0
31,2,0.2,0.30000000000000004,0,,
31,3,0.30000000000000004,0.4,1,0.3735345260556643,1.0
31,4,0.4,0.5,0,,
31,5,0.5,0.6000000000000001,1,0.5636572911969613,1.0
31,6,0.6000000000000001,0.7000000000000001,0,,
31,7,0.7000000000000001,0.8,0,,
31,8,0.8,0.9,0,,
31,9,0.9,1.0,2,0.9488666548775058,1.0
32,0,0.0,0.1,2,0.04970068603121902,0.0
32,1,0.1,0.2,2,0.17449548083183458,0.0
32,2,0.2,0.30000000000000004,0,,
32,3,0.30000000000000004,0.4,1,0.3454764714837029,0.0
32,4,0.4,0.5,0,,
32,5,0.5,0.6000000000000001,0,,
32,6,0.6000000000000001,0.7000000000000001,0,,
32,7,0.7000000000000001,0.8,2,0.7646034557329834,1.0
32,8,0.8,0.9,2,0.8816183608772181,1.0
32,9,0.9,1.0,5,0.9672483394820868,1.0
33,0,0.0,0.1,6,0.030812544874396844,0.0
33,1,0.1,0.2,1,0.12286247064067084,0.0
33,2,0.2,0.30000000000000004,1,0.21693143514359553,0.0
33,3,0.30000000000000004,0.4,0,,
33,4,0.4,0.5,1,0.4546509297249692,1.0
33,5,0.5,0.6000000000000001,0,,
33,6,0.6000000000000001,0.7000000000000001,0,,
33,7,0.7000000000000001,0.8,0,,
33,8,0.8,0.9,1,0.8559049906994625,1.0
33,9,0.9,1.0,4,0.9693318901813148,1.0
34,0,0.0,0.1,3,0.03983162714597805,0.0
34,1,0.1,0.2,3,0.14118720231391144,0.0
34,2,0.2,0.30000000000000004,0,,
34,3,0.30000000000000004,0.4,0,,
